OBJECTID,YEAR_,STATE,AGENCY,UNIT_ID,FIRE_NAME,INC_NUM,ALARM_DATE,CONT_DATE,CAUSE,C_METHOD,OBJECTIVE,GIS_ACRES,COMMENTS,DECADES,Shape__Area,Shape__Length,DURATION
68,2023,CA,CCO,KRN,SEMI,23-39887,2023-08-27 00:00:00+00:00,2023-08-27 00:00:00+00:00,Miscellaneous,1.0,1.0,4.015996,No Comments,2020,24437.2109375,825.463446811665,0
69,2023,CA,CCO,KRN,DEN,23-40087,2023-08-28 00:00:00+00:00,2023-08-28 00:00:00+00:00,Unknown Cause,1.0,1.0,33.32077,No Comments,2020,205300.015625,2251.13933798717,0
70,2023,CA,CCO,KRN,ROLLING,23-41929,2023-09-09 00:00:00+00:00,2023-09-09 00:00:00+00:00,Unknown Cause,1.0,1.0,7.908133,No Comments,2020,48110.3515625,1631.9377204392,0
71,2023,CA,CCO,KRN,TULE,23-42016,2023-09-09 00:00:00+00:00,2023-09-10 00:00:00+00:00,Unknown Cause,1.0,1.0,7.309518,No Comments,2020,44897.9921875,924.004655341922,1
72,2023,CA,CCO,KRN,CALIENTE ,23-43040,2023-09-16 00:00:00+00:00,2023-09-17 00:00:00+00:00,Unknown Cause,1.0,1.0,55.02539,No Comments,2020,334837.2265625,3260.97691659367,1
73,2023,CA,CCO,KRN,FLAT,23-43755,2023-09-21 00:00:00+00:00,2023-09-21 00:00:00+00:00,Unknown Cause,1.0,1.0,10.37647,No Comments,2020,63111.26171875,1553.04377703671,0
74,2023,CA,CCO,KRN,TOWER ,23-43839,2023-09-22 00:00:00+00:00,2023-09-22 00:00:00+00:00,Unknown Cause,1.0,1.0,5.175606,No Comments,2020,31535.8984375,1666.75188837585,0
75,2023,CA,CCO,KRN,POSO ,23-43936,2023-09-22 00:00:00+00:00,2023-09-22 00:00:00+00:00,Unknown Cause,1.0,1.0,5.002238,No Comments,2020,30675.01171875,1041.26604286787,0
76,2023,CA,CCO,KRN,BLUE BARN ,23-44532,2023-09-26 00:00:00+00:00,2023-09-27 00:00:00+00:00,Unknown Cause,1.0,1.0,7.971368,No Comments,2020,48879.41015625,1049.61124597768,1
77,2023,CA,CCO,KRN,CORNER,23-44583,2023-09-27 00:00:00+00:00,2023-09-27 00:00:00+00:00,Unknown Cause,1.0,1.0,6.430629,No Comments,2020,39461.25390625,987.043563638193,0
