OBJECTID,YEAR_,STATE,AGENCY,UNIT_ID,FIRE_NAME,INC_NUM,ALARM_DATE,CONT_DATE,CAUSE,C_METHOD,OBJECTIVE,GIS_ACRES,COMMENTS,COMPLEX_NAME,IRWINID,FIRE_NUM,COMPLEX_ID,DECADES,Shape__Area,Shape__Length
22,2023,CA,CDF,MEU,1-10,00009853,2023/08/15 00:00:00+00,2023/08/18 00:00:00+00,1,1,1,56.87772,,,{8EF2DA82-93EE-401C-BD4E-6E380CC7F09E},,,2020,392924.71875,3555.76506096679
23,2023,CA,LRA,BTU,CANA,00017710,2023/09/16 00:00:00+00,2023/09/16 00:00:00+00,11,1,1,19.28816,,,{E5A728D8-40AF-47FA-8965-293D0877A8CE},,,2020,132527.5546875,1574.848975552
24,2023,CA,CDF,AEU,MISTY,00028286,2023/10/14 00:00:00+00,2023/10/14 00:00:00+00,2,1,1,11.7,,,{C0A92C79-B606-4FE6-B750-5C29B3D408C4},,,2020,77082.015625,1326.14840721991
25,2023,CA,CDF,RRU,HIGHLAND,00160976,2023/10/30 00:00:00+00,2023/11/08 00:00:00+00,9,7,1,2487,Auto-generated by EGP-IRWIN,,{A81913DF-822A-4ADB-A61F-A3B07B21FFB4},,,2020,14121208.0507812,47327.1125758144
26,2023,CA,CDF,AEU,PLYMOUTH,00030204,2023/11/02 00:00:00+00,2023/11/02 00:00:00+00,5,1,1,11.1,,,{7A1560D1-88C1-4935-B99B-81AEDE5C298E},,,2020,71774.98046875,1248.54278186756
27,2023,CA,CDF,BTU,WALL,00021557,2023/11/12 00:00:00+00,2023/11/12 00:00:00+00,7,1,1,11.12262,,,{B66D7631-2871-4981-BBCA-19A8C62F27FF},,,2020,75606.7890625,1183.889292658
28,2023,CA,CCO,KRN,HOSTLY,23-19678,2023/05/01 00:00:00+00,2023/05/01 00:00:00+00,11,1,1,83.71268,,,{A792B00B-F8C7-49A6-AF59-9A4CF38266D7},,,2020,512475.94921875,3523.40996548146
29,2023,CA,CCO,KRN,ADOBE,23-20044,2023/05/03 00:00:00+00,2023/05/03 00:00:00+00,14,1,1,5.948729,,,,,,2020,36450.41796875,1312.57107632531
30,2023,CA,CCO,KRN,LAZY,23-21128,2023/05/10 00:00:00+00,2023/05/10 00:00:00+00,14,1,1,3.267727,,,,,,2020,19948.7890625,742.667896509371
31,2023,CA,CCO,KRN,BITTER,23-21544,2023/05/12 00:00:00+00,2023/05/12 00:00:00+00,14,1,1,225.6406,,,{DA4CBDE1-2343-4C1C-9510-8D2DE169B7CD},,,2020,1383222.34765625,5326.45543821856
